Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Admitted to Johns Hopkins Hospital or Johns Hopkins Bayview Medical Center
* Diagnoses of Myocardial Infarction, unstable angina, percutaneous intervention, coronary artery bypass surgery
* One of the following:

  * Less than a high school education (defined as completion of the 12th grade)
  * No insurance for medications with a household income of $50,000. or less
  * Any difficulty in co-pay even with a household income of \>$50,000.

Exclusion Criteria:

* physician contraindicates statin use
* chronic glucocorticosteroid therapy
* autoimmune disease (i.e. lupus erythematosus)
* current chemotherapy or radiation
* immediate life-threatening comorbidity (i.e. HIV-AIDS, end-stage renal disease, or cancer)
* history of hepatic or renal failure
* myositis with creatine kinase (CK) elevations
* any prior adverse response to statin therapy
* statin allergy
* rhabdomyolysis
* pregnant women",https://clinicaltrials.gov/ct2/show/NCT00426231,NCT00426231,Unknown,COMPLETED,2006-03,"Coronary Arteriosclerosis, Myocardial Infarction","Navigation by a health worker, Information control",Baltimore - United States,2009-12,2007-01-24,2014-02-24,INTERVENTIONAL,NA
"Inclusion Criteria:

* Age 18 years or older
* Scheduled for cardiac surgery with cardiopulmonary bypass and cardioplegic arrest
* Patient scheduled for elective cardiac surgery

Exclusion Criteria:

* Patient with Diabetes Mellitus on sulfonylurea medications
* Scheduled for left ventricular assist device (LVAD) or heart transplant
* Left ventricular ejection fraction \< 30%
* Pre-operative placement or planned use of mechanical circulatory support during surgery
* Allergy to Thiazide and its derivatives
* History of gout
* Patient is pregnant or breastfeeding",https://clinicaltrials.gov/ct2/show/NCT04830982,NCT04830982,Unknown,WITHDRAWN,2023-09-01,Myocardial Stunning,"IV Diazoxide, Placebo",Baltimore - United States,2025-08-30,2021-04-05,2022-09-19,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

* 65 years and older
* Resides in a participating country

Exclusion Criteria:

* None",https://clinicaltrials.gov/ct2/show/NCT04676282,NCT04676282,Unknown,COMPLETED,2020-12-17,"Polypharmacy, Aging",Hypothetical Scenario,Ann Arbor - United States,2021-12-31,2020-12-21,2022-01-13,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* diagnosis of dementia
* community living
* has identified study partner willing to participate
* english speaking

Exclusion Criteria:

* situation at time of referral is a medical or mental health crisis
* they plan to move out to another area or into a residential care facility in the next 6 months
* they are currently on hospice.",https://clinicaltrials.gov/ct2/show/NCT02395731,NCT02395731,Unknown,COMPLETED,2015-03,"Dementia, Caregiver Burden",MIND at Home-Plus Intervention,Baltimore - United States,2017-11-30,2015-03-24,2018-08-31,INTERVENTIONAL,NA
"Inclusion Criteria:

* definitive (chemo-)radiotherapy of locoregionally advanced (cT3-4 and/or cN+) head-and-neck squamous cell carcinomas (HNSCC) of the oral cavity, oropharynx, hypopharynx or larynx
* primary treatment between 2005 and 2019
* age ≥65 years at the time of (chemo-)radiotherapy

Exclusion Criteria:

* adjuvant (chemo-)radiotherapy
* history of previous head-and-neck cancers or radiotherapy in the head-and-neck region
* distant metastases at (chemo-)radiotherapy initiation (cM1)
* HNSCCs of the nasopharynx, salivary glands, skin or with unknown primary",https://clinicaltrials.gov/ct2/show/NCT05337631,NCT05337631,SENIOR,RECRUITING,2021-06-01,"HNSCC, Oral Cavity Cancer, Oropharynx Cancer, Hypopharynx Cancer, Larynx Cancer",No interventions listed,"Baltimore - United States, New York - United States, Cleveland - United States, Columbus - United States, Limassol - Cyprus, Brno - Czechia, Berlin - Germany, Erlangen - Germany, Frankfurt - Germany, Gießen - Germany, Halle - Germany, Jena - Germany, Kiel - Germany, Leipzig - Germany, Mainz - Germany, Munich - Germany, Würzburg - Germany, Zürich - Switzerland",2024-12-31,2022-04-20,2024-08-26,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Positive SARS-CoV-2 test in the outpatient setting (Aim 1) or hospitalized for COVID-19 (Aim 2)
* Meet continuous enrollment criteria (≥1 inpatient or any outpatient encounter in each of the two, six-month periods during the 365 days prior to the index date)
* Do not have data inconsistencies (test patients, not Veterans, multiple death dates in data, or not alive on index date)
* Diagnosed with hypertension at any point prior to the index date
* Had at least one prescription dispensed for an antihypertensive medication in the 90 days prior to the index date

Exclusion Criteria:

* Aim 1.1 and 2.1 (ACEI/ARB vs. non-ACEI/ARB comparison): diagnosed with a compelling indication for ACEI/ARB at any point prior to the index date (i.e., diabetes, stroke, chronic kidney disease, heart failure with reduced ejection fraction, or coronary heart disease)
* Aim 1.2 and 2.2 (ACE vs. ARB comparison): prescription fills for both an ACEI and an ARB in the 90 days prior to the index date; no prescription fill for an ACEI or an ARB in the 90 days prior to the index date",https://clinicaltrials.gov/ct2/show/NCT04467931,NCT04467931,Unknown,COMPLETED,2020-01-19,"Hypertension, COVID","ACEI/ARB, Non-ACEI/ARB, ACEI, ARB",Salt Lake City - United States,2020-10-21,2020-07-13,2021-04-28,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Meet criteria for TS or a chronic motor/vocal tic disorder (CTD). TS as defined by the TS Classification Study Group, includes onset before 18 years, multiple involuntary motor tics, one or more vocal tics, a waxing and waning course, the gradual replacement of old symptoms with new ones, the presence of tics for more than one year, the absence of other medical explanations for tics, and the observation of tics by a reliable examiner. CTD, criteria are as above, except that only motor or vocal tics are required
* Age 7-13 years, either gender
* Observable tics, achieving a minimum score \> 20 for TS or \> 15 for CTD on the Total Tic Severity score of the Yale Global Tic Severity Scale (YGTSS)
* Tic symptoms must be severe enough to warrant therapy; \[e\] Tics are not controlled with current medication or individuals are tic-suppressing drug naïve
* The concurrent use of other tic-suppressing medications will be permitted, if the subject has been on a stable dose for more than six weeks and agrees to maintain a constant dosage throughout the study; \[6\] The concurrent use of medication for Attention-Deficit Hyperactivity Disorder (ADHD) or Obsessive Compulsive Disorder (OCD) is also permitted if the participant has been on a stable dose for more than six weeks and agrees to maintain a constant dosage throughout the study.

Participants will be included in the study if they have had less than four previous sessions of habit reversal training. The investigators will not allow the study to interfere with simultaneous behavioral treatment. In this study, the investigators will assess whether caregiver-directed behavioral therapy using an instructional DVD will help patients who would like behavioral therapy, but the patients do not live close enough to Johns Hopkins for frequent visits.

Exclusion Criteria:

* Secondary tics
* Significant medical illness or a chronic neurological condition (i.e., seizure disorder, developmental neurological conditions, acquired brain injuries
* Current major depression, generalized anxiety disorder, separation anxiety disorder, psychotic symptoms (based upon clinical evaluation), pervasive developmental disorder, autism, intellectual disability (I.Q. less than 70), anorexia/bulimia, or substance abuse
* Individuals with significant OCD, not controlled by medication, will be excluded
* Four or more previous sessions of habit reversal training.",https://clinicaltrials.gov/ct2/show/NCT03019731,NCT03019731,BTTS:HBTA,COMPLETED,2017-03-21,Tourette Syndrome,"Therapist-directed Behavioral Therapy, Home-based DVD Therapy",Baltimore - United States,2019-03-21,2017-01-13,2021-04-01,INTERVENTIONAL,NA
"Inclusion Criteria:

* Males or female participants between ages 18-80 years at time of signing informed consent
* A clinical diagnosis of prurigo nodularis, defined by the presence of at least 10 pruritic nodules on at least 2 different anatomic locations (with each arm, leg, and anterior and posterior trunk considered distinct anatomic locations)

OR

* Subject has ongoing chronic pruritus of unknown origin, which must be present on multiple segments on the body. CPUO patients must not have known dermatologic or systemic conditions, that in the opinion of the investigator, are the cause of patient's pruritus
* Subject has moderate to severe pruritus, defined as average peak pruritus numeric rating scale - (PP-NRS) \> 7 (range 0-10, higher score indicating greater degree of pruritus severity) in the 7 days prior to the Screening Visit.
* Female participants are eligible for the study if they are not pregnant, planning to become pregnant or breastfeeding during the study or not a woman of child bearing potential (WOCBP)

Exclusion Criteria:

* Infected with hepatitis B or hepatitis C viruses.
* Infected with Herpes Simplex or Herpes zoster.
* Positive HIV serology at screening,
* Evidence of active or latent or inadequately treated infection with Mycobacterium tuberculosis (TB)
* History of lymphoproliferative disease, or active primary or recurrent malignancy
* History of recurrent (≥ 2) venous thromboembolism (VTE) or (DVT/PE) - deep vein thrombosis and pulmonary embolism
* Untreated thyroid, adrenal, or pituitary disease or nodules, or history of thyroid malignancy
* Have received any of the following treatment regiments specified in the timeframes outlined below:

  * Within 6 months of first dose of study drug: Rituximab, any other B cell depleting therapies, or intravenous immunoglobulin (IVIg)
  * Within 12 weeks of first dose of study drug: Any studies with Janus kinase (JAK) inhibitors; Cyclophosphamide (or any other cytotoxic agent), belimumab, or anifrolumab (or another anti-interferon (IFN) therapy)
  * Within 8 weeks of first dose of study drug: Other biologics
  * Within 6 weeks: Have been vaccinated with live or attenuated live vaccine.
  * Within 4 weeks: Participation in other studies involving investigational drug(s)
  * Within 4 weeks: Use of oral immune suppressants; systemic immunosuppressive therapies, neuromodulatory therapies, Phototherapy (NB UVB) or broad band phototherapy; Regular use (more than 2 visits per week) of a tanning booth/parlor.
  * Within 1 week of first dose of study drug: Topical treatments that could affect PN; Herbal medications with unknown properties or known beneficial effects for PN.",https://clinicaltrials.gov/ct2/show/NCT05038982,NCT05038982,Unknown,COMPLETED,2021-09-09,"Prurigo Nodularis, Pruritus, Chronic Pruritus, Chronic Prurigo, Skin Diseases",Abrocitinib,Baltimore - United States,2022-07-11,2021-09-09,2023-07-03,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

1. current student at MUHAS in midwifery, nursing, or medicine.
2. 3rd or 4th year for medical students or 2nd or 3rd year for nursing and midwifery students.
3. able to attend the full 4-day training during the first week of student vacation.
4. fluent in English (the language of instruction at MUHAS) and Kiswahili (the lingua franca in Tanzania).
5. willing to volunteer and complete all evaluation procedures.

Exclusion Criteria:

1. students who will not be able to attend MUHAS all days of the seminar or be on the MUHAS campus for the follow-up dates.
2. students who express severe reservations about attending (e.g., due to religious objections).
3. Students who express fear of violence due to attending (e.g., from a spouse or relative).",https://clinicaltrials.gov/ct2/show/NCT03923582,NCT03923582,THP,COMPLETED,2021-05-01,"Health Knowledge, Attitudes, Practice, Training",Comprehensive sexual health curriculum,"Minneapolis - United States, Dar Es Salaam - Tanzania",2021-09-07,2019-04-22,2024-08-07,INTERVENTIONAL,NA
"Inclusion Criteria:

* Any Johns Hopkins Emergency Department patient who has HCV antibody positive result but no HCV RNA test result in the chart
* Able to provide informed consent
* 18-100 years

Exclusion Criteria:

* Patient who has a diagnosis of chronic HCV infection
* Patient with a non-reactive test result of an HCV Ab screening test
* Patient with a chief complaint of sexual assault
* Patients who are otherwise ineligible to consent due to medical condition (e.g., severe illness, altered mental status)
* Any person who has previously enrolled in this study
* Any person less than 18 years of age
* Any person who is incarcerated
* Any woman who is pregnant
* Any person who is transgender
* Any person who is sex worker
* Any person who is refugee",https://clinicaltrials.gov/ct2/show/NCT03767231,NCT03767231,Unknown,NOT_YET_RECRUITING,2025-11,Hepatitis C,Xpert HCV Viral Load Finger-stick Point-of-Care test (Cepheid),Baltimore - United States,2027-11,2018-12-06,2024-11-13,INTERVENTIONAL,NA
